stemword,times,origin words
vaccin,13330,vaccination vaccines vaccinations vaccinated vaccinating vaccinal vaccinator
wa,9782,was
patient,8748,patients patientes
test,8346,tests testing tested testes
infect,8024,infection infections infected infecting infects infectivity infective infectiveness
thi,7828,this
coronaviru,6591,coronavirus
diseas,6190,disease diseases diseased
studi,6068,studies study studied studying
sever,5813,severe several severely severity severities severance
result,5237,results resulted resulting resultant
use,5048,using used useful usefulness uses usefully
posit,4579,positive positives positivity positively position positioned positioning posited positional positions
respiratori,4577,respiratory
pandem,4251,pandemic pandemics pandemically
clinic,4190,clinical clinically clinics clinicals
sampl,4132,samples sampling sampled
ha,4079,has
detect,3808,detection detecting detected detectable detects detectability detections detective
antibodi,3658,antibody antibodies
acut,3465,acute acutely
syndrom,3265,syndrome syndromes syndromic
viru,3217,virus
includ,3137,including included includes
develop,3100,development developing developed developments developability develops developers
case,2895,cases
effect,2608,effective effectiveness effects effectively effected
respons,2584,responses responsible responsibility responsable responsive responsiveness responsibly responsibilities
method,2555,methods methodical
immun,2432,immunization immune immunity immunized immunizations immunizing immunities
sensit,2411,sensitivity sensitive sensitivities sensitize sensitizes sensitized sensitively sensitizing sensitization
compar,2305,compared comparable compares comparing comparative comparably comparability comparatively comparator comparators
dure,2293,during
specif,2258,specificity specificities specifically specifications specifics
differ,2244,different difference differences differs differed differing differently
individu,2242,individuals individually individualized individualizing
hospit,2180,hospital hospitalized hospitals hospitalization hospitalizations hospitality
conclus,2180,conclusions conclusively
report,2169,reported reports reporting reporter reporters
associ,2164,associated association associations associating associates
caus,2140,caused causing causative causes
diagnost,2126,diagnostic diagnostics diagnostically
symptom,2117,symptoms
increas,2105,increase increasing increased increases increasement
identifi,2092,identify identified identifying identifier identifies identifiable identifiers
perform,2057,performance performed performing performances performs performant
provid,2055,provide provides providing provided providers providence
day,2053,days
evalu,2031,evaluated evaluation evaluating evaluates evaluable evaluations
popul,1967,population populations populated populous populism
transmiss,1886,transmission transmissible transmissibility transmissions transmissive transmissivity
diagnosi,1871,diagnosis
potenti,1870,potential potentially potentials potentiate potentiality potentialities potentiating
neg,1870,negative negatives negatively negativity
emerg,1856,emerged emergent emergency emerging emergently emergence emerges emergencies
particip,1657,participants participated participation participating participates
howev,1583,however
strategi,1578,strategies strategy
avail,1541,available availability availably avails
it,1492,its
analysi,1466,analysis analysied
assay,1463,assays assayed assaying
measur,1455,measured measures measuring measurements measurable measurably
show,1414,showed shows showing
collect,1387,collection collected collections collecting collective collectively collectives
import,1379,important importance imported importation importing imports importations
asymptomat,1368,asymptomatic asymptomatics asymptomatically
base,1347,based bases basing
laboratori,1336,laboratory laboratories
countri,1241,countries country
year,1223,years
valu,1212,value values valued
requir,1212,requirements requiring required requires
find,1210,findings finds
receiv,1182,receiver received receiving receives receivers
gener,1176,generalized generated generation generally generating generalizing generates generic generations generative generalization generators generically
confirm,1153,confirmed confirmation confirms confirming confirmative confirmations confirmers
outcom,1137,outcomes
observ,1132,observed observational observations observable observing observers observables
onli,1127,only
signific,1123,significant significance
object,1114,objective objectives objects objectively objection objections
peopl,1102,people peoples
addit,1099,addition additionally additive additives additions
screen,1097,screening screened screens screenings
commun,1079,community communities communication communicated communal communicators communicating communications
prevent,1073,prevention preventing preventive prevents prevented preventative preventable preventions
serolog,1069,serology serological serologically serologies
follow,1064,following followed follows followers
investig,1057,investigations investigate investigated investigational investigator investigates investigating investigators investigative
activ,1056,active activity activated actively activities activation activating activators activates
medic,1040,medical medications medically
determin,1037,determined determination determining determinant determinants determinations determines determinate
respect,1037,respectively respecting respected respects respectfully
inform,1035,information informative informed informing informs informal informant informants informational informativeness informations
earli,1029,early
nasopharyng,1017,nasopharyngeal
protect,1011,protection protective protected protections protecting protects
possibl,1005,possible possibly possibility possibilities possiblity
reduc,995,reduce reduced reducing reduces reducible
evid,990,evidence evident evidences evidently
describ,982,describe described describes describing
limit,979,limited limitations limits limiting
challeng,974,challenges challenging challenged challengers
factor,970,factors factores factored factorization
mortal,968,mortality mortalities
present,967,presented presentation presently presenting presents presentations presenters
set,963,settings sets
efficaci,958,efficacy efficacious efficacies
swab,957,swabs swabbed swabbing
healthcar,952,healthcare
assess,946,assessed assessment assessing assessments assesses assessable assessement
preval,912,prevalence prevalences prevalent prevalance
genom,904,genome genomic genomes genomics genomically
consid,901,considered considering considers
specimen,896,specimens
indic,894,indicating indicate indices indicated indicative indications indicates indicator indicators
manag,884,management manages managed managing managers manageable
level,878,levels levelled
sequenc,878,sequence sequencing sequences sequenced sequencer
neutral,875,neutralization neutralizing neutralized neutralizes neutrality
safeti,874,safety
trial,866,trials trialed
demonstr,862,demonstrate demonstrating demonstrated demonstration demonstrates demonstrably demonstrable
therapeut,856,therapeutic therapeutics therapeutically
significantli,855,significantly
estim,836,estimated estimation estimates estimating estimations estimer estimator
conduct,824,conducted conducting conductivity conduction conducts conductance
