stemword,origin words
coronaviru,coronavirus
diseas,disease diseases diseased
pandem,pandemic pandemics pandemically
continu,continues continued continuity continually continuously continuing continuation
henc,hence
simpl,simple
accur,accurate accurately
test,tests testing tested testes
diagnos,diagnose diagnosing diagnosed diagnoses
sever,severe several severely severity severities severance
acut,acute acutely
respiratori,respiratory
syndrom,syndrome syndromes syndromic
infect,infection infections infected infecting infects infectivity infective infectiveness
perform,performance performed performing performances performs performant
characterist,characteristics characteristically
detect,detection detecting detected detectable detects detectability detections detective
evalu,evaluated evaluation evaluating evaluates evaluable evaluations
compar,compared comparable compares comparing comparative comparably comparability comparatively comparator comparators
real-tim,real-time
revers,reverse reversible reversed reversibility reversion reversal
transcription-polymeras,transcription-polymerase
diagnosi,diagnosis
case,cases
method,methods methodical
republ,republic
wa,was
specimen,specimens
hundr,hundred hundreds
sampl,samples sampling sampled
mainli,mainly
nasopharyng,nasopharyngeal
swab,swabs swabbed swabbing
obtain,obtained obtaining obtainable obtainment obtains
suspect,suspected suspects suspecting
individu,individuals individually individualized individualizing
includ,including included includes
pre-op,pre-operative pre-operatively
patient,patients patientes
hospit,hospital hospitalized hospitals hospitalization hospitalizations hospitality
dure,during
result,results resulted resulting resultant
posit,positive positives positivity positively position positioned positioning posited positional positions
neg,negative negatives negatively negativity
durat,duration durations
laboratori,laboratory laboratories
rang,ranged ranging ranges
day,days
sensit,sensitivity sensitive sensitivities sensitize sensitizes sensitized sensitively sensitizing sensitization
specif,specificity specificities specifically specifications specifics
respect,respectively respecting respected respects respectfully
fals,false falsely
cycl,cycle cycles cycling
conclus,conclusions conclusively
show,showed shows showing
thu,thus
potenti,potential potentially potentials potentiate potentiality potentialities potentiating
thi,this
screen,screening screened screens screenings
intern,international internationally internal internalization internalized internally interns internalizing internalizes
scientif,scientific scientifically
critic,critically criticism criticized
aim,aimed aims aiming
updat,updating update updated updates
inform,information informative informed informing informs informal informant informants informational informativeness informations
knowledg,knowledge knowledgeable
intens,intensive intensity intense intensities intensively intensely intension
expert,experts
review,reviewed reviewing reviews reviewers
literatur,literature literatures
relat,relating related relation relates relations
epidemiolog,epidemiology epidemiological epidemiologically
pathophysiolog,pathophysiology pathophysiological
phenotyp,phenotypes phenotypic phenotyping phenotypical
systemat,systematic systematically systematize systematized
mechan,mechanical mechanisms mechanically mechanized mechanics
ventil,ventilation ventilate ventilated ventilator ventilators
thromboprophylaxi,thromboprophylaxis
associ,associated association associations associating associates
co-infect,co-infections co-infective co-infected co-infecting
immunotherapi,immunotherapy immunotherapies
catheter-rel,catheter-related
artifici,artificial artificially
intellig,intelligence intelligent
vaccin,vaccination vaccines vaccinations vaccinated vaccinating vaccinal vaccinator
antivir,antiviral antivirals
therapi,therapy therapies
issu,issues issued issuing
discuss,discussed discusses discussion discussing discussions
messag,messages messaging
regard,regarding regards regarded
manag,management manages managed managing managers manageable
be,being beings
present,presented presentation presently presenting presents presentations presenters
avail,available availability availably avails
evid,evidence evident evidences evidently
provid,provide provides providing provided providers providence
comprehens,comprehensive comprehensively comprehension comprehensiveness comprehensions
analysi,analysis analysied
demograph,demographic demographics demographical demographically
clinic,clinical clinically clinics clinicals
symptom,symptoms
find,findings finds
imag,imaging images imager imaged
featur,features featured featuring
pediatr,pediatric pediatrics
meta-analysi,meta-analysis
carri,carried carry carrying carries
identifi,identify identified identifying identifier identifies identifiable identifiers
studi,studies study studied studying
decemb,december
age,ages aged aging ageing
ill,illness illnesses
classif,classification classifications
confid,confidence confidently
interv,interval intervals
asymptomat,asymptomatic asymptomatics asymptomatically
moder,moderate moderately moderation moderated moderating
typic,typical typically
manifest,manifestations manifested manifests manifesting
elev,elevated elevation elevations elevates elevating elevators
creatine-kinas,creatine-kinase
opac,opacity opacities
addit,addition additionally additive additives additions
vomit,vomiting
occur,occurred occurs occurring occured occuring
attent,attention attentions
experi,experience experiments experiences experimenting
atyp,atypical atypically
incid,incidence incident incidents incidences
unpreced,unprecedented
worldwid,worldwide
ha,has
impos,imposed imposes imposing
challeng,challenges challenging challenged challengers
